entry_date,exit_date,symbol,spread_type,direction,entry_price,exit_price,entry_vix,exit_vix,position_size,pnl_pct,pnl_dollar,hold_days,exit_reason,vrp_at_entry,regime_at_entry,size_multiplier
2023-04-19 04:00:00,2023-04-25 04:00:00,SPY,bull_put,long,414.14,406.08,16.46,18.76,195.42744413546058,-0.3,-58.62823324063817,6,stop_loss,0.04930111686631447,NEUTRAL,1.0
2023-04-26 04:00:00,2023-04-27 04:00:00,SPY,bull_put,long,404.36,412.41,18.84,17.03,194.2548794706478,0.3,58.27646384119434,1,take_profit,0.0731585516824679,NEUTRAL,1.0
2023-05-03 04:00:00,2023-05-05 04:00:00,SPY,bull_put,long,408.02,412.63,18.34,17.19,195.4204087474717,0.17949868762179852,35.07770690468661,2,take_profit,0.058271014650518316,NEUTRAL,1.0
2023-05-10 04:00:00,2023-05-18 04:00:00,SPY,bull_put,long,412.85,419.23,16.94,16.05,117.67317773133925,0.25720754507892035,30.266429165913248,8,take_profit,0.025236611606361592,NEUTRAL,0.6
2023-05-24 04:00:00,2023-05-26 04:00:00,SPY,bull_put,long,411.09,420.02,20.03,17.95,194.40206947691243,0.3,58.320620843073726,2,take_profit,0.057155498625731105,NEUTRAL,1.0
2023-05-17 04:00:00,2023-05-26 04:00:00,SPY,bull_put,long,415.23,420.02,16.87,17.95,116.26109959856319,0.18935378501378491,22.01447925885257,9,take_profit,0.02361277400495665,NEUTRAL,0.6
2023-06-01 04:00:00,2023-06-02 04:00:00,SPY,bull_put,long,421.82,427.92,15.65,14.6,119.00039608255332,0.22353633778955506,26.600912735800485,1,take_profit,0.029158221754612107,NEUTRAL,0.6
2023-06-08 04:00:00,2023-06-12 04:00:00,SPY,bull_put,long,429.13,433.8,13.65,15.01,119.31960703538293,0.16269219250909706,19.41236847791033,4,take_profit,0.01932470218403262,NEUTRAL,0.6
2023-06-15 04:00:00,2023-06-21 04:00:00,SPY,bull_put,long,442.6,434.94,14.5,13.2,199.25425909519646,-0.3,-59.77627772855894,6,stop_loss,0.030988588499245504,NEUTRAL,1.0
2023-06-23 04:00:00,2023-06-29 04:00:00,SPY,bull_put,long,433.21,438.11,13.44,13.54,118.83524012437518,0.19014760207850487,22.596235952073265,6,take_profit,0.02229496462826032,NEUTRAL,0.6
2023-07-10 04:00:00,2023-07-12 04:00:00,SPY,bull_put,long,439.66,446.02,15.07,13.54,196.12853036055077,0.22875453220004777,44.86529021371066,2,take_profit,0.04788815187146206,NEUTRAL,1.0
2023-06-30 04:00:00,2023-07-13 04:00:00,SPY,bull_put,long,443.28,449.56,13.59,13.61,119.10639495580004,0.24972601717958104,29.743965632930085,13,take_profit,0.027243161620658665,NEUTRAL,0.6
2023-07-17 04:00:00,2023-07-25 04:00:00,SPY,bull_put,long,450.84,455.44,13.48,13.86,200.0028433765996,0.17185915775024185,34.372320210355944,8,take_profit,0.03801277874717722,NEUTRAL,1.0
2023-07-31 04:00:00,2023-08-02 04:00:00,SPY,bull_put,long,457.79,450.13,13.63,16.09,196.77023405062536,-0.3,-59.031070215187604,2,stop_loss,0.056454697129893816,NEUTRAL,1.0
2023-07-24 04:00:00,2023-08-04 04:00:00,SPY,bull_put,long,454.2,446.81,13.91,17.1,196.0027865090676,-0.3,-58.80083595272028,11,stop_loss,0.05284849326433742,NEUTRAL,1.0
2023-08-07 04:00:00,2023-08-15 04:00:00,SPY,bull_put,long,450.71,442.89,15.77,16.46,198.33365165744857,-0.3,-59.50009549723457,8,stop_loss,0.05926419796840002,NEUTRAL,1.0
2023-08-14 04:00:00,2023-08-16 04:00:00,SPY,bull_put,long,448.11,439.64,14.82,16.78,194.3669786242996,-0.3,-58.31009358728988,2,stop_loss,0.05361729344639443,NEUTRAL,1.0
2023-08-28 04:00:00,2023-08-29 04:00:00,SPY,bull_put,long,442.76,449.16,15.08,14.45,192.05789891824293,0.22042175444936424,42.33373903541776,1,take_profit,0.03274763045063543,NEUTRAL,1.0
2023-08-21 04:00:00,2023-08-29 04:00:00,SPY,bull_put,long,439.34,449.16,17.13,14.45,195.9774478757581,0.3,58.793234362727425,8,take_profit,0.06905190736492013,NEUTRAL,1.0
2023-09-12 04:00:00,2023-09-14 04:00:00,SPY,bull_put,long,445.99,450.36,14.23,12.82,117.3743924973578,0.15863527927486012,18.619719533535402,2,take_profit,0.022444714802397653,NEUTRAL,0.6
2023-09-05 04:00:00,2023-09-20 04:00:00,SPY,bull_put,long,449.24,438.64,14.01,15.14,118.7999924062326,-0.3,-35.63999772186978,15,stop_loss,0.02220729488984044,NEUTRAL,0.6
2023-09-19 04:00:00,2023-09-21 04:00:00,SPY,bull_put,long,442.71,431.39,14.11,17.54,117.59782913176022,-0.3,-35.27934873952807,2,stop_loss,0.019672722743749593,NEUTRAL,0.6
2023-10-03 04:00:00,2023-10-06 04:00:00,SPY,bull_put,long,421.59,429.54,19.78,17.45,193.01491490906048,0.2989585616908762,57.70346134609958,3,take_profit,0.07872568205985347,NEUTRAL,1.0
2023-09-26 04:00:00,2023-10-06 04:00:00,SPY,bull_put,long,425.88,429.54,18.94,17.45,196.95399480516375,0.16124967870242105,31.758768381490956,10,take_profit,0.061938564246711986,NEUTRAL,1.0
2023-10-17 04:00:00,2023-10-19 04:00:00,SPY,bull_put,long,436.02,426.43,17.88,21.4,196.35832052691896,-0.3,-58.90749615807569,2,stop_loss,0.04971637313764432,NEUTRAL,1.0
2023-10-10 04:00:00,2023-10-19 04:00:00,SPY,bull_put,long,434.54,426.43,17.03,21.4,119.24594363982932,-0.3,-35.77378309194879,9,stop_loss,0.03566318537209762,NEUTRAL,0.6
2023-10-24 04:00:00,2023-10-25 04:00:00,SPY,bull_put,long,423.63,417.55,18.97,20.19,196.84961381471504,-0.3,-59.05488414441451,1,stop_loss,0.06699808286364645,NEUTRAL,1.0
2023-10-31 04:00:00,2023-11-02 04:00:00,SPY,bear_call,short,418.2,430.76,18.14,15.66,117.40110967909607,-0.3,-35.22033290372882,2,stop_loss,0.0419171071454916,NEUTRAL,0.6
2023-12-04 05:00:00,2023-12-11 05:00:00,SPY,bull_put,long,456.69,461.99,13.08,12.63,194.9641094737522,0.19927869670892764,38.85219364094603,7,take_profit,0.031654383627793076,NEUTRAL,1.0
2023-12-20 05:00:00,2023-12-22 05:00:00,SPY,bull_put,long,468.26,473.65,13.67,13.03,195.74115334657108,0.17986048776320804,35.206099316247176,2,take_profit,0.04269513275767775,NEUTRAL,1.0
2024-01-02 05:00:00,2024-01-12 05:00:00,SPY,bull_put,long,472.65,476.68,13.2,12.7,196.44527533289602,0.1566959060615687,30.78217040980247,10,take_profit,0.03151602841194888,NEUTRAL,1.0
2024-01-16 05:00:00,2024-01-19 05:00:00,SPY,bull_put,long,474.93,482.43,13.84,13.3,197.06091874109208,0.24767701345461438,48.807459822416135,3,take_profit,0.03689684550890758,NEUTRAL,1.0
2024-01-24 05:00:00,2024-01-29 05:00:00,SPY,bull_put,long,485.39,491.27,13.14,13.6,198.03706793754037,0.19445841159032204,38.509973667138794,5,take_profit,0.039203413962093134,NEUTRAL,1.0
2024-01-31 05:00:00,2024-02-01 05:00:00,SPY,bull_put,long,482.88,489.2,14.35,13.88,198.80726741088316,0.19992206759443318,39.74595995358313,1,take_profit,0.03139609441441635,NEUTRAL,1.0
2024-02-20 05:00:00,2024-02-22 05:00:00,SPY,bull_put,long,496.76,507.5,15.42,14.54,195.61014287775572,0.3,58.68304286332671,2,take_profit,0.03263801404590985,NEUTRAL,1.0
2024-02-12 05:00:00,2024-02-22 05:00:00,SPY,bull_put,long,500.98,507.5,13.93,14.54,199.6021866099548,0.21744881687599357,43.40325932419596,10,take_profit,0.027957182570756064,NEUTRAL,1.0
2024-02-29 05:00:00,2024-03-07 05:00:00,SPY,bull_put,long,508.08,514.81,13.4,14.44,120.98634759222313,0.2122473917610801,25.67903671514879,7,take_profit,0.012624834590643369,NEUTRAL,0.6
2024-03-14 04:00:00,2024-03-20 04:00:00,SPY,bull_put,long,514.95,520.48,14.4,13.04,199.73160346735216,0.1869336003495477,37.33654773974035,6,take_profit,0.02986605405304485,NEUTRAL,1.0
2024-03-07 05:00:00,2024-03-20 04:00:00,SPY,bull_put,long,514.81,520.48,14.44,13.04,121.29449603280493,0.20412946195517254,24.75978021330028,12,take_profit,0.022144952813921245,NEUTRAL,0.6
2024-04-01 04:00:00,2024-04-04 04:00:00,SPY,bull_put,long,522.16,513.07,13.65,16.35,199.3314315481277,-0.3,-59.79942946443831,3,stop_loss,0.0389753642771552,NEUTRAL,1.0
2024-03-22 04:00:00,2024-04-04 04:00:00,SPY,bull_put,long,521.21,513.07,13.06,16.35,203.39941994706908,-0.3,-61.01982598412072,13,stop_loss,0.03192112780334423,NEUTRAL,1.0
2024-04-08 04:00:00,2024-04-12 04:00:00,SPY,bull_put,long,518.72,510.85,15.19,17.31,200.98303483809792,-0.3,-60.294910451429374,4,stop_loss,0.051303172315948414,NEUTRAL,1.0
2024-04-15 04:00:00,2024-04-19 04:00:00,SPY,bull_put,long,504.45,495.16,19.23,18.71,199.77713662906933,-0.3,-59.933140988720794,4,stop_loss,0.07417609639069113,NEUTRAL,1.0
2024-04-22 04:00:00,2024-04-23 04:00:00,SPY,bull_put,long,499.72,505.65,16.94,15.69,198.57847380929493,0.18492022291396848,36.72117564273047,1,take_profit,0.05377012341112539,NEUTRAL,1.0
2024-04-29 04:00:00,2024-04-30 04:00:00,SPY,bull_put,long,510.06,501.98,14.67,15.65,119.58773839328971,-0.3,-35.87632151798691,1,stop_loss,0.018382227738667073,NEUTRAL,0.6
2024-05-13 04:00:00,2024-05-15 04:00:00,SPY,bull_put,long,520.91,529.78,13.6,12.45,119.15722253507387,0.2664235494699887,31.746290172779705,2,take_profit,0.017800455421989436,NEUTRAL,0.6
2024-05-29 04:00:00,2024-06-05 04:00:00,SPY,bull_put,long,526.1,534.67,14.28,12.63,199.23029669524539,0.27474476135635595,54.73748032049119,7,take_profit,0.05171404160707421,NEUTRAL,1.0
2024-06-20 04:00:00,2024-07-03 04:00:00,SPY,bull_put,long,547.0,551.46,13.28,12.09,200.32504630165522,0.1637758530098466,32.8084053372906,13,take_profit,0.04754396433372986,NEUTRAL,1.0
2024-07-15 04:00:00,2024-07-18 04:00:00,SPY,bull_put,long,561.53,552.66,13.12,15.93,200.981214408401,-0.3,-60.294364322520295,3,stop_loss,0.057708706018512315,NEUTRAL,1.0
2024-07-22 04:00:00,2024-07-24 04:00:00,SPY,bull_put,long,554.65,541.23,14.91,18.04,199.77532712195057,-0.3,-59.93259813658517,2,stop_loss,0.04654848050803187,NEUTRAL,1.0
2024-07-29 04:00:00,2024-07-31 04:00:00,SPY,bull_put,long,544.76,550.81,16.6,16.36,119.14600509553134,0.17378712093398804,20.70604119633866,2,take_profit,0.028059730895558188,NEUTRAL,0.6
2024-08-06 04:00:00,2024-08-08 04:00:00,SPY,bull_put,long,522.15,530.65,27.71,23.79,198.99079598314566,0.25774863899514927,51.28960683721721,2,take_profit,0.08049194581516692,NEUTRAL,1.0
2024-09-03 04:00:00,2024-09-06 04:00:00,SPY,bull_put,long,552.08,540.36,20.72,22.38,200.01658811989,-0.3,-60.004976435966995,3,stop_loss,0.04921845845078224,NEUTRAL,1.0
2024-09-10 04:00:00,2024-09-11 04:00:00,SPY,bull_put,long,548.79,554.42,19.08,17.69,119.2898931547024,0.1607623012308037,19.177317737126657,1,take_profit,0.03588888258596057,NEUTRAL,0.6
2024-09-17 04:00:00,2024-09-19 04:00:00,SPY,bull_put,long,563.07,570.98,17.61,16.33,199.20003494591322,0.22119067275654622,44.06118974281406,2,take_profit,0.04051691217565223,NEUTRAL,1.0
2024-09-24 04:00:00,2024-10-08 04:00:00,SPY,bull_put,long,571.3,573.17,15.39,21.42,120.04875524446169,0.030646617348552674,3.6790882651470733,14,manage_21dte,0.012273362461953874,NEUTRAL,0.6
2024-10-01 04:00:00,2024-10-09 04:00:00,SPY,bull_put,long,568.62,577.14,19.26,20.86,197.68028363588027,0.23533361000908204,46.52081477565097,8,take_profit,0.0743328629480543,NEUTRAL,1.0
2024-10-08 04:00:00,2024-10-11 04:00:00,SPY,bull_put,long,573.17,579.58,21.42,20.46,196.20123483335485,0.17855127798035705,35.03198122081965,3,take_profit,0.10972775429212867,NEUTRAL,1.0
2024-10-15 04:00:00,2024-10-29 04:00:00,SPY,bull_put,long,579.78,581.77,20.64,19.34,201.7858964260018,0.09463934837753236,19.096885749533048,14,manage_21dte,0.09814513210915489,NEUTRAL,1.0
2024-10-29 04:00:00,2024-10-31 04:00:00,SPY,bull_put,long,581.77,568.64,19.34,23.16,198.21283057104287,-0.3,-59.46384917131286,2,stop_loss,0.10556181115696782,NEUTRAL,1.0
