date,capital,open_value,total_value,open_positions
2024-12-12 05:00:00,1000.0,0.0,1000.0,0
2024-12-13 05:00:00,1000.0,0.0,1000.0,0
2024-12-16 05:00:00,980.4619160151482,19.699273177726862,1000.161189192875,1
2024-12-17 05:00:00,961.313772407103,38.281103271633036,999.594875678736,2
2024-12-18 05:00:00,942.4815697092021,32.71472461684745,975.1962943260495,3
2024-12-19 05:00:00,922.6369315024011,53.45316891371053,976.0901004161117,4
2024-12-20 05:00:00,948.9756688566674,36.404944711722564,985.38061356839,3
2024-12-23 05:00:00,952.6178273067209,45.733338759094664,998.3511660658155,3
2024-12-24 05:00:00,959.3276496215753,59.867934230029725,1019.1955838516051,3
2024-12-26 05:00:00,980.1591821998466,40.84495944223382,1021.0041416420804,2
2024-12-27 05:00:00,995.8426612083317,17.959047170910612,1013.8017083792423,1
2024-12-30 05:00:00,995.8426612083317,0.0,995.8426612083317,1
2024-12-31 05:00:00,995.8426612083317,8.562153248236795,1004.4048144565685,1
2025-01-02 05:00:00,995.8426612083317,0.0,995.8426612083317,1
2025-01-03 05:00:00,1011.418847837325,0.0,1011.418847837325,0
2025-01-06 05:00:00,1011.418847837325,0.0,1011.418847837325,0
2025-01-07 05:00:00,1011.418847837325,0.0,1011.418847837325,0
2025-01-08 05:00:00,1011.418847837325,0.0,1011.418847837325,0
2025-01-10 05:00:00,991.7310224279908,19.85024996896118,1011.5812723969519,1
2025-01-13 05:00:00,991.7310224279908,21.333907062441188,1013.064929490432,1
2025-01-14 05:00:00,991.7310224279908,22.25567555533525,1013.986697983326,1
2025-01-15 05:00:00,998.147511481133,19.931407370887733,1018.0789188520208,1
2025-01-16 05:00:00,998.147511481133,19.67630591815303,1017.8238173992861,1
2025-01-17 05:00:00,1022.0897854343427,0.0,1022.0897854343427,0
2025-01-21 05:00:00,1022.0897854343427,0.0,1022.0897854343427,0
2025-01-22 05:00:00,1022.0897854343427,0.0,1022.0897854343427,0
2025-01-23 05:00:00,1022.0897854343427,0.0,1022.0897854343427,0
2025-01-24 05:00:00,1022.0897854343427,0.0,1022.0897854343427,0
2025-01-27 05:00:00,1002.1550289902939,20.09921818471226,1022.2542471750062,1
2025-01-28 05:00:00,1006.1716212028371,20.180517914991476,1026.3521391178285,1
2025-01-29 05:00:00,1006.1716212028371,19.358648920030568,1025.5302701228677,1
2025-01-30 05:00:00,1006.1716212028371,21.054672202012828,1027.22629340485,1
2025-01-31 05:00:00,1006.1716212028371,20.022798872592585,1026.1944200754297,1
2025-02-03 05:00:00,1006.1716212028371,19.538529846114923,1025.710151048952,1
2025-02-04 05:00:00,1006.1716212028371,21.329246468412887,1027.50086767125,1
2025-02-05 05:00:00,1006.1716212028371,22.54816099726602,1028.719782200103,1
2025-02-06 05:00:00,1030.4704362553443,0.0,1030.4704362553443,0
2025-02-07 05:00:00,1030.4704362553443,0.0,1030.4704362553443,0
2025-02-10 05:00:00,1030.4704362553443,0.0,1030.4704362553443,0
2025-02-11 05:00:00,1030.4704362553443,0.0,1030.4704362553443,0
2025-02-12 05:00:00,1030.4704362553443,0.0,1030.4704362553443,0
2025-02-13 05:00:00,1010.3637674577125,20.272548815212318,1030.636316272925,1
2025-02-14 05:00:00,1010.3637674577125,20.42754663788157,1030.791314095594,1
2025-02-18 05:00:00,1010.3637674577125,23.042313176353026,1033.4060806340656,1
2025-02-19 05:00:00,1034.7825313807036,0.0,1034.7825313807036,0
2025-02-20 05:00:00,1034.7825313807036,0.0,1034.7825313807036,0
2025-02-21 05:00:00,1014.5756010345056,20.373637521554215,1034.9492385560598,1
2025-02-24 05:00:00,1014.5756010345056,20.195715388706702,1034.7713164232123,1
2025-02-25 05:00:00,1014.5756010345056,19.428752344328963,1034.0043533788346,1
2025-02-26 05:00:00,1014.5756010345056,19.87331592686849,1034.4489169613742,1
2025-02-27 05:00:00,994.7138475115393,28.694386108049734,1023.4082336195889,2
2025-02-28 05:00:00,1001.1465588961418,40.55504957265076,1041.7016084687925,2
2025-03-03 05:00:00,991.3506780740039,32.09043530781619,1023.4411133818201,2
2025-03-04 05:00:00,971.9492759282372,45.02203499913949,1016.9713109273766,3
2025-03-05 05:00:00,976.7301192587265,51.59774287350694,1028.3278621322333,3
2025-03-06 05:00:00,976.7301192587265,0.0,976.7301192587265,3
2025-03-07 05:00:00,976.7301192587265,0.0,976.7301192587265,3
2025-03-10 04:00:00,976.7301192587265,0.0,976.7301192587265,3
2025-03-11 04:00:00,986.6219125551931,0.0,986.6219125551931,2
2025-03-12 04:00:00,986.6219125551931,0.0,986.6219125551931,2
2025-03-13 04:00:00,986.6219125551931,0.0,986.6219125551931,2
2025-03-14 04:00:00,996.4220766702285,0.0,996.4220766702285,1
2025-03-17 04:00:00,1006.0885318866812,0.0,1006.0885318866812,0
2025-03-18 04:00:00,986.0183271790002,20.23578389651932,1006.2541110755195,1
2025-03-19 04:00:00,966.2714269332233,37.9067717459821,1004.1781986792055,2
2025-03-20 04:00:00,966.2714269332233,40.30248343018353,1006.5739103634069,2
2025-03-21 04:00:00,966.2714269332233,42.71036717596469,1008.9817941091881,2
2025-03-24 04:00:00,946.7608633417708,46.99575042215453,993.7566137639253,3
2025-03-25 04:00:00,946.7608633417708,46.76923803701584,993.5301013787866,3
2025-03-26 04:00:00,971.0200795147673,41.20900396032425,1012.2290834750916,2
