entry_date,exit_date,symbol,direction,signal,entry_price,exit_price,position_size,pnl_pct,pnl_dollar,confidence,exit_reason,mode
2021-10-14 04:00:00,2021-10-18 04:00:00,SPY,long,BUY_CALL,442.5,447.19,20.0,0.25297514124293774,2238.829999999999,0.7055927044192969,take_profit,options_credit
2021-10-15 04:00:00,2021-10-19 04:00:00,SPY,long,BUY_CALL,445.87,450.64,20.0,0.25516008253526723,2275.364519999992,0.7028098755643488,take_profit,options_credit
2021-12-10 05:00:00,2021-12-17 05:00:00,SPY,long,BUY_CALL,470.74,459.87,20.0,-0.63535,-5981.693179999999,0.6492269143993379,stop_loss,options_credit
2022-02-02 05:00:00,2022-02-03 05:00:00,SPY,long,BUY_CALL,457.35,446.6,20.0,-0.6650499999999999,-6083.212349999999,0.7211250084892409,stop_loss,options_credit
2022-02-03 05:00:00,2022-02-08 05:00:00,SPY,long,BUY_CALL,446.6,450.94,20.0,0.23854310344827465,2130.666999999989,0.7246552693938859,take_profit,options_credit
2022-02-08 05:00:00,2022-02-09 05:00:00,SPY,long,BUY_CALL,450.94,457.54,20.0,0.3269440568590068,2948.6430600000103,0.7276292065664098,take_profit,options_credit
2022-02-07 05:00:00,2022-02-09 05:00:00,SPY,long,BUY_CALL,447.26,457.54,20.0,0.33,2951.916,0.7255657640292749,take_profit,options_credit
2022-02-04 05:00:00,2022-02-09 05:00:00,SPY,long,BUY_CALL,448.7,457.54,20.0,0.33,2961.42,0.7256149760534178,take_profit,options_credit
2022-02-10 05:00:00,2022-02-11 05:00:00,SPY,long,BUY_CALL,449.32,440.46,20.0,-0.5358179753108415,-4815.074653333346,0.7354326504733348,stop_loss,options_credit
2022-02-09 05:00:00,2022-02-11 05:00:00,SPY,long,BUY_CALL,457.54,440.46,20.0,-0.6600999999999999,-6040.44308,0.7306315050528049,stop_loss,options_credit
2022-02-14 05:00:00,2022-02-15 05:00:00,SPY,long,BUY_CALL,439.02,446.1,20.0,0.33,2897.532,0.7385301969711779,take_profit,options_credit
2022-02-11 05:00:00,2022-02-15 05:00:00,SPY,long,BUY_CALL,440.46,446.1,20.0,0.30150548971529983,2656.022160000019,0.7387015853975438,take_profit,options_credit
2022-02-16 05:00:00,2022-02-17 05:00:00,SPY,long,BUY_CALL,446.6,437.06,20.0,-0.609192409314825,-5441.306600000017,0.7382716068273348,stop_loss,options_credit
2022-02-15 05:00:00,2022-02-17 05:00:00,SPY,long,BUY_CALL,446.1,437.06,20.0,-0.5552483224986944,-4953.925533333351,0.7399523750715389,stop_loss,options_credit
