date,capital,open_value,total_value,open_positions
2024-12-12 05:00:00,978.1302404403687,21.869759559631348,1000.0,1
2024-12-13 05:00:00,956.7382547972159,43.257402590060735,999.9956573872767,2
2024-12-16 05:00:00,935.8221543395996,64.358213824861,1000.1803681644606,3
2024-12-17 05:00:00,936.7601092917707,63.15510035893361,999.9152096507044,3
2024-12-18 05:00:00,956.4387227697847,41.67373770279556,998.1124604725803,2
2024-12-19 05:00:00,955.4031338606989,42.69865512248988,998.1017889831887,2
2024-12-20 05:00:00,934.5242152369315,63.945477189984615,998.469692426916,3
2024-12-23 05:00:00,935.3091406123875,63.54347829554449,998.852618907932,3
2024-12-24 05:00:00,936.3231766573941,63.235730218275,999.5589068756691,3
2024-12-26 05:00:00,936.6541308861032,62.90898259061164,999.5631134767149,3
2024-12-27 05:00:00,916.1854694073645,82.71543324053701,998.9009026479015,4
2024-12-30 05:00:00,936.4077917870775,61.54919766322527,997.9569894503028,3
2024-12-31 05:00:00,935.9099520501029,61.82311559713416,997.733067647237,3
2025-01-02 05:00:00,935.1567894612989,62.42437863901644,997.5811681003154,3
2025-01-03 05:00:00,914.7373208147085,83.62436556668791,998.3616863813963,4
2025-01-06 05:00:00,936.1665235432938,62.676891170871194,998.843414714165,3
2025-01-07 05:00:00,936.2639918235208,61.87091799011358,998.1349098136343,3
2025-01-08 05:00:00,935.6990461356596,62.52625830528137,998.2253044409409,3
2025-01-10 05:00:00,915.2751985872032,81.99549029665016,997.2706888838534,4
2025-01-13 05:00:00,955.6433201251067,41.75449573986086,997.3978158649676,2
2025-01-14 05:00:00,934.8014899685472,62.653780611141784,997.455270579689,3
2025-01-15 05:00:00,934.7957277921379,63.79921117187926,998.5949389640172,3
2025-01-16 05:00:00,914.3787961960734,84.09344783772357,998.472244033797,4
2025-01-17 05:00:00,894.380374550416,104.9361583755385,999.3165329259546,5
2025-01-21 05:00:00,958.6507976002097,41.62627748966293,1000.2770750898726,2
2025-01-22 05:00:00,957.5171367606781,42.993937302231494,1000.5110740629096,2
2025-01-23 05:00:00,936.5387968078244,64.20694174369149,1000.7457385515158,3
2025-01-24 05:00:00,916.0217150175558,84.53658875527412,1000.55830377283,4
2025-01-27 05:00:00,937.5213355578247,61.841161409907315,999.362496967732,3
2025-01-28 05:00:00,937.3459881661123,62.54787003301435,999.8938581991266,3
2025-01-29 05:00:00,936.6960202497918,62.917442382952515,999.6134626327444,3
2025-01-30 05:00:00,916.1857049820935,83.76544452673622,999.9511495088298,4
2025-01-31 05:00:00,896.1173118197523,103.38804116095348,999.5053529807058,5
2025-02-03 05:00:00,937.6463271569137,61.16326701434437,998.809594171258,3
2025-02-04 05:00:00,937.0868553018396,62.13303831691093,999.2198936187506,3
2025-02-05 05:00:00,936.2828360025716,63.188984588649475,999.4718205912211,3
2025-02-06 05:00:00,915.7947979820123,83.89663941705388,999.6914373990661,4
2025-02-07 05:00:00,895.7297025747679,103.193780033487,998.9234826082549,5
2025-02-10 05:00:00,937.9732443822444,61.65105654672654,999.6243009289709,3
2025-02-11 05:00:00,937.4120114267764,62.25917631051303,999.6711877372894,3
2025-02-12 05:00:00,936.555374361741,62.91524607316538,999.4706204349063,3
2025-02-13 05:00:00,916.0061898103398,84.12866112954876,1000.1348509398886,4
2025-02-14 05:00:00,895.9291866321349,104.20152500046375,1000.1307116325987,5
2025-02-18 05:00:00,958.8131249025816,41.623508871645456,1000.4366337742271,2
