entry_date,exit_date,symbol,direction,signal,entry_price,exit_price,position_size,pnl_pct,pnl_dollar,confidence,exit_reason,mode
2024-12-19 05:00:00,2024-12-20 05:00:00,SPY,long,BUY_CALL,586.1,591.15,19.844638206800926,0.206058095888072,4.089148362481082,0.5026538471664701,take_profit,options_credit
2024-12-18 05:00:00,2024-12-20 05:00:00,SPY,long,BUY_CALL,586.28,591.15,18.832202697900893,0.21574544586204566,4.062961967623047,0.4328604070629392,take_profit,options_credit
2024-12-20 05:00:00,2024-12-23 05:00:00,SPY,long,BUY_CALL,591.15,594.69,20.490213880539603,0.1812432123826469,3.713712186116499,0.5064557070817266,take_profit,options_credit
2024-12-23 05:00:00,2024-12-24 05:00:00,SPY,long,BUY_CALL,594.69,601.3,20.561767616602637,0.26103076392742064,5.367253908659886,0.506116236277989,take_profit,options_credit
2024-12-16 05:00:00,2024-12-26 05:00:00,SPY,long,BUY_CALL,606.79,601.34,19.538083984851834,0.06620140411015464,1.2934485934193167,0.43038495165961127,time_exit,options_credit
2024-12-17 05:00:00,2024-12-27 05:00:00,SPY,long,BUY_CALL,604.29,595.01,19.148143608045164,-0.1809399736329668,-3.4646645995599537,0.4299865169610296,time_exit,options_credit
2024-12-24 05:00:00,2025-01-03 05:00:00,SPY,long,BUY_CALL,601.3,591.95,19.219199210408064,-0.18955069571483338,-3.643012581414825,0.4352643294419561,time_exit,options_credit
2025-01-10 05:00:00,2025-01-15 05:00:00,SPY,long,BUY_CALL,580.49,592.78,19.68782540933417,0.33,6.496982385080276,0.4269310115064893,take_profit,options_credit
2025-01-15 05:00:00,2025-01-17 05:00:00,SPY,long,BUY_CALL,592.78,597.58,19.768318741272235,0.21114366206687393,4.173955211937436,0.4247803045596395,take_profit,options_credit
2025-01-27 05:00:00,2025-01-28 05:00:00,SPY,long,BUY_CALL,599.37,604.52,19.934756444048855,0.20553181674091048,4.097226708232934,0.4287580503310476,take_profit,options_credit
