entry_date,exit_date,symbol,direction,signal,entry_price,exit_price,position_size,pnl_pct,pnl_dollar,confidence,exit_reason,mode
2024-12-18 05:00:00,2024-12-20 05:00:00,SPY,long,BUY_CALL,586.28,591.15,17.811050754064954,0.2157454458620456,3.842653086207268,0.3807777486724967,take_profit,options_credit
2024-12-16 05:00:00,2024-12-26 05:00:00,SPY,long,BUY_CALL,606.79,601.34,18.697519675384864,0.0662014041101546,1.2378020558877207,0.3903580797802318,time_exit,options_credit
2024-12-17 05:00:00,2024-12-27 05:00:00,SPY,long,BUY_CALL,604.29,595.01,18.35209325885069,-0.1809399736329668,-3.320627270366192,0.3905604748021472,time_exit,options_credit
2024-12-23 05:00:00,2024-12-30 05:00:00,SPY,short,BUY_PUT,594.69,588.22,16.832403625372145,0.33,5.554693196372808,0.3594488272070885,take_profit,options_credit
2024-12-20 05:00:00,2024-12-30 05:00:00,SPY,short,BUY_PUT,591.15,588.22,17.136056705913138,0.2740416983845029,4.695994083301587,0.3591667631268501,take_profit,options_credit
2024-12-19 05:00:00,2024-12-30 05:00:00,SPY,short,BUY_PUT,586.1,588.22,17.032486901728266,0.1252115679918101,2.132664391765365,0.3581494534015655,time_exit,options_credit
2025-01-10 05:00:00,2025-01-21 05:00:00,SPY,short,BUY_PUT,580.49,603.05,18.250685577096498,-0.2481970465484721,-9.216596216433729,0.3569601246714592,stop_loss,options_credit
2025-01-15 05:00:00,2025-01-27 05:00:00,SPY,short,BUY_PUT,592.78,599.37,17.93601724994585,0.0427117986436783,0.7660795572492282,0.3576187336444855,time_exit,options_credit
2025-01-27 05:00:00,2025-01-28 05:00:00,SPY,long,BUY_CALL,599.37,604.52,18.81906847658017,0.2055318167409104,3.867917333363122,0.3910735366832126,take_profit,options_credit
2025-01-28 05:00:00,2025-02-06 05:00:00,SPY,long,BUY_CALL,604.52,606.32,18.896100337459643,0.2140065175676594,4.043888628828813,0.3912930233370174,take_profit,options_credit
2025-02-13 05:00:00,2025-02-19 05:00:00,SPY,long,BUY_CALL,609.73,612.93,25.562810373734287,0.2144609417283035,5.482224385973102,0.7009385533286073,take_profit,options_credit
2025-02-27 05:00:00,2025-02-28 05:00:00,SPY,long,BUY_CALL,585.05,594.18,18.591213273550007,0.33,6.135100380271503,0.3921578867327083,take_profit,options_credit
2025-02-21 05:00:00,2025-03-03 05:00:00,SPY,long,BUY_CALL,599.94,583.77,26.778175497457863,-0.2481970465484721,-13.52297862621622,0.7512686336040497,stop_loss,options_credit
2025-03-05 05:00:00,2025-03-06 05:00:00,SPY,short,BUY_PUT,583.06,572.71,17.266806665445625,0.33,5.698046199597057,0.3587205627560615,take_profit,options_credit
2025-03-04 05:00:00,2025-03-06 05:00:00,SPY,short,BUY_PUT,576.86,572.71,17.561563728385952,0.1912706375897089,3.359011491400687,0.3576494300365448,take_profit,options_credit
2025-02-28 05:00:00,2025-03-11 04:00:00,SPY,long,BUY_CALL,594.18,555.92,18.438376432494564,-0.2481970465484721,-9.311380098409751,0.3793865867103851,stop_loss,options_credit
2025-03-03 05:00:00,2025-03-14 04:00:00,SPY,long,BUY_CALL,583.77,562.81,18.194274968296405,-0.2481970465484721,-9.188108858989684,0.3722727821223931,stop_loss,options_credit
2025-03-24 04:00:00,2025-03-26 04:00:00,SPY,short,BUY_PUT,574.08,568.59,17.437863468666833,0.2433887959866223,4.244180594217927,0.3592444428801536,take_profit,options_credit
2025-03-19 04:00:00,2025-03-28 04:00:00,SPY,short,BUY_PUT,567.13,555.66,17.766115622341857,0.33,5.862818155372813,0.3596159437298775,take_profit,options_credit
2025-03-18 04:00:00,2025-03-28 04:00:00,SPY,short,BUY_PUT,561.02,555.66,18.089545032538123,0.33,5.9695498607375805,0.3594676175713539,take_profit,options_credit
2025-03-28 04:00:00,2025-04-03 04:00:00,SPY,short,BUY_PUT,555.66,536.7,18.3819613361822,0.33,6.066047240940125,0.3595729985833168,take_profit,options_credit
2025-04-03 04:00:00,2025-04-04 04:00:00,SPY,short,BUY_PUT,536.7,505.28,18.541078987385596,0.33,6.118556065837246,0.3618795418739319,take_profit,options_credit
2025-04-04 04:00:00,2025-04-08 04:00:00,SPY,short,BUY_PUT,505.28,496.48,20.46777260006597,0.33,6.754364958021772,0.4457925793528556,take_profit,options_credit
2025-04-09 04:00:00,2025-04-10 04:00:00,SPY,short,BUY_PUT,548.62,524.58,14.762553944382963,0.33,4.871642801646379,0.4488064435124397,take_profit,options_credit
2025-04-14 04:00:00,2025-04-16 04:00:00,SPY,short,BUY_PUT,539.12,525.66,13.074922214990988,0.33,4.314724330947026,0.3606418588757515,take_profit,options_credit
